system:index,HH_A1,HH_A2,HH_A3,HH_A4,HH_D1,HH_D2,HH_D3,HH_D4,HV_A1,HV_A2,HV_A3,HV_A4,HV_D1,HV_D2,HV_D3,HV_D4,Height,NL,U1,U2,U3,U4,VH_A1,VH_A2,VH_D1,VH_D2,VV_A1,VV_A2,VV_D1,VV_D2,.geo
15,-5.1065927474519865,-0.7817925205541006,-6.3177182599879425,-2.9428511459133255,-2.596413689179079,-2.442742635214349,-4.000784064533436,-5.563214206616931,-11.273976242093495,-7.196158635750673,-14.4038854098564,-8.92454859645869,-15.143745142335336,-14.318354176512791,-13.136253701132478,-14.000911387970172,13,35.162498474121094,0.4691358024691347,0.3659305993690863,0.3653032440056418,0.38663484486873106,-4.8726071375696955,-4.056025023939105,-9.39233504957228,-6.7252005075448915,-0.6821432871015498,1.4008039807286086,0.9876660843611286,4.495747441897408,
16,-4.601693376260634,-2.473501569926954,-6.962490840098741,-5.874094011418036,-7.354965549991138,-5.187671289597694,-6.007801875310119,-7.079622285052106,-14.189738920846802,-14.150438063943435,-14.448047407566275,-14.350262763569685,-13.231030200312777,-13.61444417745881,-12.417027250522402,-13.088439924943575,8,25.177499771118164,0.0,0.04731861198738192,0.08603667136812418,0.14081145584725346,-16.326212612574984,-16.835786665208214,-13.788893343859613,-14.617246986649915,-8.682574449546157,-9.26595559322101,-7.01839554901646,-8.096992599268374,
21,-6.192414715778142,-4.716717633659332,-2.3811358645195875,-4.845731142843557,-4.617034120335864,-2.7262703602750404,-3.670164860932101,-2.1809384465607042,-12.936679692829614,-12.664583620074739,-13.193833635950728,-13.10097314330334,-13.521018248252917,-13.21927330145137,-12.906696443303609,-13.815191493097077,7,22.11166763305664,0.23456790123456736,0.1861198738170356,0.24823695345557129,0.22593476531423595,-15.7800467225866,-15.572009913095988,-10.310959556050626,-15.680558428674948,-6.288189729845155,-8.372271622787649,-5.9289852645614305,-9.102355136481712,
31,-5.126392610499713,-4.382243257728972,-7.062399984250222,-5.460611303672926,-8.39881154764247,-7.15754851196288,-7.867871369552357,-6.8251197481358785,-11.791491604213778,-13.650166163475149,-13.197237489328481,-13.250898471394668,-9.449437653461604,-13.102251710524989,-12.71171504156344,-11.102499478001198,6,31.84666633605957,0.1481481481481478,0.22397476340694122,0.23695345557122713,0.2052505966587075,-14.678041980924892,-14.023256559237073,-15.011345525289071,-12.099436951674562,-9.305655929978899,-8.512564179472509,-9.45054456076336,-6.63531568962948,
46,-2.295197795409749,-4.070446053771674,-1.816820631617398,-3.3126027600545482,-5.681316680653936,-7.620926703186819,-6.734827828529046,-6.282500773423281,-10.695030105941752,-10.877591997278964,-9.432544173214223,-8.397040141305633,-12.455878245897066,-11.234460009372112,-10.424023190298932,-11.711972401077876,13,30.3891658782959,0.7777777777777772,0.7318611987381708,0.6995768688293371,0.6650755767700853,-10.23680552353324,-13.020141816851977,-10.705937241923541,-10.584048034006484,-5.887927630801221,-7.4198462657005155,-7.624160767732067,-8.294628037603088,
87,2.2481297087319256,2.108728357994701,-0.16211204370286317,0.1089975480278914,-0.7829031591801993,12.760588553162078,4.696898504623797,8.453352908845966,0.1331014382405507,-2.171663811478443,-3.876261770150892,-4.378806518248793,-11.168091802493,-8.498220140751648,-6.217777214125406,-7.965292794739411,26,49.592498779296875,0.9876543209876543,0.8485804416403788,0.6840620592383639,0.614160700079552,-1.8612805284285132,-0.14656258165284944,-10.673316224187339,-9.21905706396873,0.9538409481253779,1.7323528998284006,2.196458275927209,10.196016321662565,
111,15.48485231998133,7.05034876533255,-1.7798206294082501,4.404749571676854,-14.345089096808865,-0.7401238858175838,-0.36234768382232274,-4.94600198789971,2.4360723568377454,-13.280251873921358,-12.519829252112647,-8.702270146504075,-16.671522834781538,-7.02262071934747,-2.4760109077919394,-7.554713407556203,10,58.30666732788086,1.0,1.0,0.8913963328631876,0.7263325377883832,-1.2203486719668388,-5.640213491628802,-6.677119731110707,-11.053811911360937,10.339260330707669,1.1407712103227285,-8.808977914834333,-5.722432966763638,
114,6.4347089819719026,15.680761827286124,5.879098625781893,10.989383077157854,0.10451395759723532,0.630266868253602,0.3507540919410329,3.942346172342609,-9.900729783830531,-9.328614371113593,-8.854684710942037,-9.890052881316238,-2.1651581723924056,-4.980302595947304,-4.3257941305578695,1.5020994422789413,22,60.62916564941406,0.8148148148148144,0.7287066246056787,0.7517630465444288,0.7573587907716771,-13.773361400336492,-14.918437839472086,-8.143337596882684,1.9929014023350027,2.4862529811675333,1.8209839371063854,-3.7980618995572497,6.300298651131981,
129,-1.3663462144838203,1.2866794343926724,-1.156491878621261,-0.05783103500686768,-0.13557882263979343,1.2218759701062234,0.5035806075985875,-1.2349942737078317,-8.016871987995147,-9.48944582745013,-8.569800978441664,-8.928117812836815,-6.591628713259949,-7.2530073513044595,-3.191483187648999,-4.599824896009099,24,58.249168395996094,0.9135802469135801,0.8201892744479499,0.7926657263751763,0.8082736674622104,-13.708805979803122,-11.612907494034754,-9.199992320495355,-0.9659753825697943,-0.2786292078779556,-3.532390765052322,-5.049405094610168,2.663477151802761,
139,-7.145595248230952,-5.524518718205965,-8.521275768674256,-7.315200343115438,-9.063248514659792,-7.104305746600535,-7.072476659080234,-7.691844503088903,-14.877894294802255,-14.690296149097284,-14.68427254195291,-14.366775922625125,-14.839271896263602,-14.579486321891881,-14.302094975703964,-14.792248263420229,4,28.792499542236328,0.0493827160493826,0.015772870662460636,0.04513399153737664,0.07557677008750902,-13.693656362835238,-15.72350881093831,-15.313996013700306,-8.421142780022741,-8.854324229847345,-8.246984038786561,-9.806864804469479,-5.866734672624563,
