system:index,Height,NL,U1,U2,U3,U4,VH_A,VH_D1,VH_D2,VV_A,VV_D1,VV_D2,.geo
12,4,47.97833251953125,0.5679012345679003,0.5236593059936917,0.529325513196481,0.5434583714547083,-11.920059238093382,-18.17969721214594,-17.37666896820196,-5.545513642465127,-9.649339961839464,-9.693945348676802,
19,7,20.623332977294922,0.3333333333333326,0.4037854889589916,0.3892806770098731,0.3253778838504331,-14.228396955981713,-14.26113242480598,-13.7431309166266,-7.417452339469729,-7.661061901820336,-7.285126425114084,
22,9,51.565834045410156,0.20987654320987606,0.26182965299684674,0.35260930888575465,0.44311853619729147,-10.824564308718676,-13.775139473434391,-12.68596296705321,-7.783908897828795,-7.485735113983746,-7.364048993993318,
29,20,41.587501525878906,0.6296296296296288,0.5646687697160891,0.5148095909732018,0.48846459824979777,-7.359350667115342,-14.27387430221076,-15.923484228230162,-3.5132249141937777,-5.884200260995956,-7.909581759561892,
39,15,20.829166412353516,0.28395061728395,0.28075709779179936,0.2905500705218619,0.26889419252187263,-12.952725378055769,-15.784818159926319,-15.001048579604273,-7.370409737702826,-9.000790485493392,-5.960754281238108,
55,15,57.91749954223633,0.5061728395061718,0.4100946372239758,0.40479548660084635,0.37549721559267685,-12.014595455405457,-10.999575864966133,-11.792872462265995,-7.259062171577257,-7.347568600412367,-7.571616318811336,
60,4,28.082500457763672,0.2222222222222217,0.14826498422712997,0.15514809590973208,0.17342879872712527,-15.108804980940052,-14.772499020916879,-16.284374056051583,-9.41166715073185,-10.84134128644173,-10.736342751370344,
62,21,65.29166412353516,0.8765432098765429,0.8485804416403788,0.7785613540197461,0.7048528241845645,-9.262686412957615,-0.2510883517746386,-9.194820880964413,-2.2439105270038535,0.8803103578374467,-2.409421725715364,
72,8,28.9516658782959,0.3086419753086413,0.29652996845425994,0.2806770098730607,0.2450278440731853,-14.899018304640036,-15.832240091888313,-12.344231363994885,-8.236979054850305,-8.883024949767616,-8.122650892356608,
76,6,49.025001525878906,0.2592592592592587,0.42902208201892844,0.380818053596615,0.3699284009546498,-17.150301513880187,-17.786475948343675,-16.888218088369072,-11.397953631258073,-0.5979091704145708,4.8803730105418675,
79,17,35.92916488647461,0.11111111111111086,0.10094637223974802,0.10437235543018342,0.10819411296738138,-8.933441082470333,-12.447520250569825,-10.25176888276439,-1.6854499853486635,-7.017802288038466,-4.5163253683058295,
81,11,2.260833263397217,0.13580246913580216,0.041009463722397665,0.028208744710860417,0.02704852824184527,-14.96809120964845,-14.783468174266995,-14.483855232349125,-9.275228345022251,-9.905563835808893,-8.20509334415292,
87,7,25.600833892822266,0.2592592592592587,0.13564668769716143,0.12976022566995776,0.12728719172633102,-11.248475619058386,-16.033971238774633,-13.469424041309225,-8.672428609631405,-9.23169253817406,-8.456057278017449,
100,10,36.22916793823242,0.493827160493826,0.35015772870662576,0.23272214386459808,0.22991249005568373,-14.48702651047632,-12.372907897431277,-8.423779451262671,-7.601648720356463,-6.987147284754082,-2.837879566446007,
111,9,40.84083557128906,0.4197530864197521,0.34700315457413367,0.35119887165021163,0.3460620525059623,-14.493354840176709,-8.786113703981526,-8.976938318580409,-7.093263094825567,-4.874289645573091,-5.540470170031702,
116,16,48.95333480834961,0.5679012345679003,0.49842271293375484,0.47813822284908325,0.37549721559267685,-10.288112873628227,-10.71645096060975,-5.480317153698893,-6.940583350864712,-3.644960104747438,-1.3919852221880378,
123,13,96.42250061035156,0.6543209876543202,0.8422712933753946,0.849083215796897,0.8385043754972146,-11.230877294371242,-8.385134429759665,-8.454259387428456,-6.498067577019143,-5.205724669266795,-4.5107015289558765,
128,12,27.5,0.6172839506172831,0.49526813880126275,0.47954866008462627,0.38106603023070396,-7.276372757666853,-17.628458777746406,-13.514333395273198,0.09635027777728992,-8.9770639708014,0.4684003312248031,
139,19,65.92416381835938,0.6049382716049374,0.49526813880126275,0.5021156558533146,0.4948289578361144,-12.695782600948284,-12.157038611050616,-10.533390612556875,-4.273511602263471,-6.911633491844314,-6.5803258826127475,
148,8,52.85916519165039,0.7530864197530859,0.7413249211356472,0.6727785613540198,0.652346857597452,-11.723838064957118,-13.745989112466175,-11.173850377762824,-4.407466516298262,-7.551362738735884,-4.809064313176801,
151,35,57.03166580200195,0.5432098765432088,0.5141955835962154,0.32299012693935125,0.22275258552107774,-10.215344797613414,-13.796710389018871,-15.228920548020369,-7.594948245776143,0.8752016533590713,-5.0376321666684625,
161,24,37.4658317565918,0.246913580246913,0.20820189274448053,0.22708039492242602,0.2887828162291122,-13.32791227451711,-12.179607433363177,-10.727798618748436,-10.339946941012082,-2.9190883929512443,-1.947100760269391,
168,7,33.92499923706055,0.23456790123456736,0.33753943217665733,0.3399153737658675,0.27446300715989974,-16.941677142871193,-12.769934451245055,-9.532186250809959,-10.06751533834887,-6.994260570056562,-2.2184151584251817,
172,7,10.508333206176758,0.6172839506172831,0.27760252365930727,0.1861777150916785,0.12251392203659364,-18.441005611215314,-20.654447926928125,-21.053333108454687,-11.883193817192046,-7.542674169605821,-3.657677676228213,
175,4,40.74833297729492,0.2222222222222217,0.4006309148264995,0.377997179125529,0.36197295147175396,-17.578855289080686,-18.36365232534102,-16.22946804586046,-10.313254211077856,-11.724575209645593,-11.951896721311837,
178,7,65.43582916259766,0.7283950617283944,0.6593059936908523,0.533145275035261,0.48926014319808736,-11.916474852939634,-12.992464166915516,-15.569026755232693,-1.7859181291886133,-5.595470329547562,-7.690600719783414,
181,17,50.3849983215332,0.7530864197530859,0.5488958990536286,0.3638928067700988,0.3015115354017456,-12.005543515406362,-8.564037259018113,2.2529098853179916,-2.5534035134729907,-5.970380662751479,6.0694979902679655,
186,19,62.567501068115234,0.4444444444444434,0.5425867507886444,0.6064880112834979,0.6364359586316604,-11.70160704355644,-12.876865791235863,-14.458646714570177,-5.22126047926917,-10.759915547263548,-10.8240676680647,
198,8,28.203332901000977,0.4567901234567891,0.36908517350157843,0.28208744710860373,0.23548130469371062,-14.461033267743279,-13.133826808124105,-12.595359887553217,-4.673909052601772,-2.906230415014941,-5.061013060259225,
199,19,46.97833251953125,0.7777777777777772,0.4037854889589916,0.3638928067700988,0.3444709626093831,-10.738350230982649,-19.03790447683377,-15.334355892665547,-0.5823647642316504,-7.654661411742175,-9.73156564872816,
212,19,81.73666381835938,0.7160493827160488,0.709779179810726,0.7122708039492243,0.7056483691328541,-7.734229043825776,-17.734724083018477,-15.579443554333391,0.7975860748116373,-5.4220531518800925,-4.463904799478053,
214,7,21.988332748413086,0.4814814814814804,0.31545741324921256,0.24682651622002827,0.21002386634844483,-13.856764081519792,-15.036424732495878,-14.302862219403735,-5.822334534402093,-8.489644217738904,-6.981888912613952,
216,19,48.95333480834961,0.6543209876543202,0.6151419558359629,0.5853314527503527,0.5584725536992812,-11.994132785626501,-14.827660313597853,-13.154854331822383,-7.840134979564177,-8.3996121060852,-9.521668616531706,
217,19,51.307498931884766,0.6296296296296288,0.5015772870662469,0.48377997179125537,0.5139220365950644,-17.583175747342462,-10.810438053979675,-10.141024740579947,-9.452453774754286,-5.191059971643877,-4.688120639808325,
218,7,41.092498779296875,0.3086419753086413,0.47949526813880217,0.376586741889986,0.3253778838504331,-12.47229437235507,-12.40775838204551,-11.38804830734716,-4.58283085869181,-2.7743144746122,-3.0533942977380883,
219,8,40.57666778564453,0.7407407407407401,0.5552050473186128,0.4950634696755995,0.4964200477326936,-15.33212457096804,-16.35272991690153,-12.520313745769204,-6.509980114648291,-4.229868945029348,-4.455013474331623,
228,21,55.46500015258789,0.3950617283950608,0.2492113564668783,0.17348377997179132,0.1495624502784386,-13.807144654354877,-16.48537242914419,-14.881726899564683,0.25652444518827283,-10.926649585157493,-8.792952042184703,
